Land,Range,City,Town,Explorer,Dahan,Type,Gathers to
😎P7,1,1,1,1,,M,😎R4
😎P4,1,,1,,1,J,😎R4
😎Q7,1,,,,,W,😎R4
😎Q8,1,,1,,,S,😎R4
😎R2,1,1,,,,S,😎R4
😎R3,1,1,1,1,2,M,😎R4
😎R5,1,,,,3,W,😎R4
😎R7,1,2,3,2,,M,😎R4
😎P1,2,,,,1,W,😎P4
😎P2,2,1,2,2,,M,😎P4
😎P3,2,,,,3,S,😎R7
😎P5,2,,,,,S,😎P7
😎P6,2,,2,1,,W,😎P7
😎P8,2,,1,,1,J,😎P7
😎Q4,2,1,2,2,,M,😎Q7
😎Q5,2,,1,2,1,J,😎Q8
😎Q6,2,1,1,2,2,M,😎Q8
😎R1,2,1,1,,,J,😎R2
😎R6,2,,,,1,S,😎R7
😎R8,2,,,1,,W,😎R7
😎S1,2,1,1,1,2,M,😎Q8
🇲🇺R1,1,1,5,,,M,🇲🇺R5
🇲🇺R4,1,,4,,,S,🇲🇺R5
🇲🇺R6,1,1,5,2,1,M,🇲🇺R5
🇲🇺R7,1,,4,,2,S,🇲🇺R5
🇲🇺R8,1,1,5,1,,J,🇲🇺R5
🇲🇺S4,1,,2,,,J,🇲🇺R5
🇲🇺S7,1,,2,,,M,🇲🇺R5
🇲🇺Q3,2,1,4,1,,M,🇲🇺R1
🇲🇺Q4,2,,3,1,1,J,🇲🇺R8
🇲🇺R2,2,2,5,1,,W,🇲🇺R4
🇲🇺R3,2,2,5,,,J,🇲🇺R4
🇲🇺S2,2,2,2,,,S,🇲🇺S4
🇲🇺S3,2,1,5,1,1,M,🇲🇺S4
🇲🇺S5,2,,5,1,,W,🇲🇺S4
🇲🇺S6,2,,,,,S,🇲🇺S7
🇲🇺S8,2,,5,1,,W,🇲🇺S7
🇲🇺T6,2,,4,,1,S,🇲🇺S4
🇲🇺T8,2,,4,1,,W,🇲🇺S4
🍪Q1,1,,4,,1,S,🍪Q5
🍪Q2,1,2,5,,,J,🍪Q5
🍪Q4,1,,,,,M,🍪Q5
🍪Q6,1,1,4,2,3,M,🍪Q5
🍪Q8,1,,4,,,S,🍪Q5
🍪Q3,2,,4,,1,W,🍪Q2
🍪Q7,2,,4,1,,W,🍪Q8
🍪R6,2,,3,1,,W,🍪Q4
🍪R8,2,,3,,,J,🍪Q4
🍪R4,1,,3,,3,J,🍪S4
🍪R7,1,1,5,,,M,🍪S4
🍪S3,1,,1,1,1,M,🍪S4
🍪S5,1,,3,,,J,🍪S4
🍪S7,1,,5,1,,W,🍪S4
🍪T6,1,,2,,2,M,🍪S4
🍪T8,1,,3,,,J,🍪S4
🍪R1,2,,4,,1,W,🍪R4
🍪R2,2,3,5,1,,M,🍪R4
🍪R3,2,,4,,2,S,🍪S7
🍪R5,2,,4,1,,S,🍪R7
🍪S2,2,2,4,,,S,🍪S5
🍪S6,2,,4,1,2,W,🍪S5
🍪S8,2,,4,,2,S,🍪S7
🍪T1,2,1,5,1,,M,🍪S3
🍪T5,2,,4,2,,W,🍪T8
🍪T7,2,,4,,,S,🍪T8
💖S4,1,1,2,1,,M,💖S7
💖S5,1,,2,1,,J,💖S7
💖S6,1,,,,2,W,💖S7
💖S8,1,,1,1,3,S,💖S7
💖T3,1,,,,1,W,💖S7
💖T4,1,1,2,2,,M,💖S7
💖T7,1,,,,,W,💖S7
💖Q1,2,1,2,,,M,💖S8
💖Q6,2,1,1,2,,M,💖S8
💖S1,2,1,1,,,J,💖S8
💖S2,2,1,,,,S,💖S5
💖S3,2,1,2,1,,M,💖S5
💖T2,2,1,2,,,J,💖T4
💖T5,2,,2,1,,J,💖T4
💖T8,2,,1,,,S,💖T4
💖U3,2,,,,2,S,💖T7
💖U4,2,,2,1,,J,💖T7
💖U7,2,1,1,1,5,M,💖S4
⚡Q1,1,1,2,,,M,⚡S8
⚡S4,1,1,2,2,,M,⚡S8
⚡S5,1,,,,,J,⚡S8
⚡S6,1,,,,,M,⚡S8
⚡S7,1,,,,,W,⚡S8
⚡T3,1,1,1,1,1,M,⚡S8
⚡T4,1,1,2,2,2,M,⚡S8
⚡Q2,2,1,1,,1,W,⚡Q1
⚡Q4,2,,,,,S,⚡Q1
⚡Q5,2,,,1,,W,⚡Q1
⚡Q6,2,1,1,3,,M,⚡Q1
⚡Q8,2,,1,,1,J,⚡S6
⚡S1,2,,4,3,2,S,⚡S6
⚡S2,2,,1,,1,J,⚡S4
⚡S3,2,,,,1,W,⚡S4
⚡T2,2,1,,,,S,⚡T3
⚡T5,2,,2,1,,J,⚡T3
⚡T7,2,,1,1,,W,⚡T4
⚡U4,2,,,,,J,⚡S7
⚡U7,2,2,3,2,,M,⚡S4
⚡U8,2,,,1,,W,⚡S4
