Source,Destination,City,Town,Explorer,Dahan,Action Name,Action ID,Parent,Notes,After Toplevel
🇲🇺R5W,LAIRL,,,,,Starting land,0,,,
Delta,LAIRL,,,7,,Orange Boddy (Skozen) MR,1,,,
Undecided,LAIRL,,,,2,Snake Earth (Sloverlord),2,,TBD 2 dahan,
Delta,LAIRL,,,1,,Orange Keeper (Fotland) MR,3,,,
Delta,LAIRL,,5,8,1,Orange EEB (MountainChaos) Portal,4,,,
Delta,LAIRL,,,1,,Blue Tactician (TripleZ) MR,5,,,
💖Q7S,LAIRL,,,,2,Weave,21,,-N/A-,start
👻S8W,LAIRL,,1,1,,Weave,22,,-N/A-,start
🧩U4S,LAIRL,,,,,Weave,23,,-N/A-,start
🧀Q8W,LAIRL,,1,1,3,Weave,24,,-N/A-,start
💖P7J,LAIRL,,,,2,Enticing Splendor (Robin),25,,-N/A-,start
💖P7J,LAIRL,,,,1,Enticing Splendor (Apple),26,,-N/A-,start
🧀R8M,LAIRL,,,,1,Enticing Splendor (Apple),27,,-N/A-,start
🏝️T3J,LAIRL,,,,2,Skies Herald (Sloverlord/Amelia),28,,-N/A-,start
♾️R4J,LAIRL,,1,1,,Weave,35,,+blighted,start
🌱P4J,LAIRL,,1,,1,Weave,36,,+blighted,start
🍌U5M,LAIRL,1,1,4,,Weave,37,,+1 strifed invader +blighted,start
🏝️S8M,LAIRL,2,4,2,,Weave,38,,+blighted,start
🧀Q4W,🧀P3M,,1,,,Manual_Slurp (1),41,,-,lair_orange
🧀P3M,LAIRL,,2,,,Manual_Slurp (2),42,,-,lair_orange
🏝️P3W,LAIRL,,1,,,Manual_Slurp (3),43,,-,lair_orange
🏝️P7W,LAIRL,,1,1,,Manual_Slurp (4),44,,-,lair_orange
🇲🇺R8J,LAIRL,,,5,,Manual slurp (Lair),71,,-N/A-,lair_orange
🧀Q7J,LAIRL,,,4,,Manual slurp (Lair),72,,-N/A-,lair_orange
👻Q8J,LAIRL,,,2,,Manual slurp (Lair),73,,-N/A-,lair_orange
🏝️T4W,LAIRL,,,1,,Manual slurp (Lair),74,,-N/A-,lair_orange
⚽P7M,LAIRL,,,1,,Manual slurp (Lair),75,,-N/A-,lair_orange
🌱P7M,LAIRL,,,4,,Manual slurp (Lair),77,,-N/A-,lair_orange
🧩U5M,LAIRL,,,2,,Manual slurp (Lair),78,,-N/A-,lair_orange
🧩U6J,LAIRL,,,4,,Manual slurp (Lair),79,,-N/A-,lair_orange
♾️R3S,LAIRL,,,1,,Manual slurp (Lair),80,,-N/A-,lair_orange
♾️R7M,LAIRL,,,2,,Manual slurp (Lair),81,,-N/A-,lair_orange
